Date,Close,Open,High,Low,Volume,log_return
1/10/2013,28695.59,28957.28,28976.64,28567.08,,-0.009062648
1/11/2013,29202.01,28697.15,29267.19,28688.22,,0.01749409
1/14/2013,29309.7,29181.54,29316.41,29124.82,,0.003680977
1/15/2013,29686.95,29309.7,29687.81,29309.7,,0.012789036
1/16/2013,30093.83,29686.95,30109.78,29665.97,,0.013612612
1/17/2013,30324.86,30094.55,30385.1,29915.57,,0.007647671
1/18/2013,30927.18,30611.92,30928.6,30307.94,,0.019667571
1/21/2013,30842.54,30927.18,31025.95,30804.04,,-0.002740503
1/22/2013,30983.83,30843.06,30997.01,30566.2,,0.00457055
1/23/2013,31446.22,30985.34,31447.33,30770.86,,0.01481333
1/25/2013,31583.49,31447.33,31641.38,31151.27,,0.004355731
1/28/2013,31474.88,31584.89,31722.29,31313.74,,-0.003444748
1/29/2013,31571.46,31477.7,31587.68,31475.69,,0.003063781
1/30/2013,31815.45,31573.51,31825.68,31514.65,,0.007698473
1/31/2013,31853.19,31815.45,31955.94,31548.42,,0.001185513
2/1/2013,32413.03,31858.83,32414.21,31853.19,,0.017422968
2/4/2013,32685.03,32409.43,32687.05,32105.66,,0.008356672
2/5/2013,33064.37,32684.13,33248.03,32516.93,,0.011539093
2/6/2013,33460.14,33064.62,33503.87,33019.69,,0.011898612
2/7/2013,33219.2,33460.39,33556.82,33206.68,,-0.007226858
2/8/2013,33313.49,33219.48,33382.41,33061.94,,0.002834398
2/11/2013,33511.63,33284.92,33530.69,33284.83,,0.005930123
2/12/2013,33487.82,33511.94,33645.35,33388.77,,-0.000710752
2/13/2013,33355.54,33487.82,33567.03,33301.43,,-0.003957915
2/14/2013,33342.02,33352.23,33483.44,32919.11,,-0.000405412
2/15/2013,33258.45,33342.14,33391.61,32943.29,,-0.002509593
2/18/2013,33251.51,33258.3,33320.56,32999.01,,-0.000208691
2/19/2013,33335.11,33250.85,33337.16,33068.14,,0.002511016
2/20/2013,33708.18,33617.41,33816.04,33335.02,,0.011129342
2/21/2013,33506.6,33707.4,33742.99,33335.88,,-0.005998104
2/22/2013,33895.08,33506.78,34249.97,33505.99,,0.011527437
2/25/2013,33811.08,33895.08,33944.95,33751.88,,-0.002481312
2/26/2013,33613.87,33811.08,34664.79,33115.89,,-0.00584978
2/27/2013,33736.82,33613.87,33765.57,33613.16,,0.003651043
2/28/2013,33075.14,33736.68,33847.39,32997.66,,-0.01980788
3/1/2013,33183.2,33075.92,33184.22,32701.85,,0.003261781
3/4/2013,32947.13,33186.81,33233.33,32934.07,,-0.007139568
3/5/2013,32784.56,32947.83,32997.86,32716.27,,-0.004946483
3/6/2013,32731.08,32784.27,32825.8,32703.54,,-0.001632588
3/7/2013,32772.73,32731.08,32796.89,32578.56,,0.001271682
3/8/2013,32849.11,32772.73,32947.13,32731.08,,0.002327885
3/11/2013,32890.36,32849.11,32909.12,32811.55,,0.001254954
3/12/2013,33351.71,32890.36,33362.76,32857.94,,0.01392944
3/13/2013,33357.16,33351.71,33488.42,33250.04,,0.000163397
3/14/2013,33207.02,33361.26,33380.14,33273.12,,-0.004511143
3/15/2013,32950.08,33207.02,33357.16,32890.36,,-0.00776761
3/18/2013,33243.54,32950.08,33264.7,32950.08,,0.008866774
3/19/2013,33298.74,33244.01,33415.43,33232.22,,0.001659096
3/20/2013,33207.21,33296.54,33323.18,33177.72,,-0.002752537
3/21/2013,33361.96,33207.15,33423.04,33154.56,,0.004649308
